"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","stimulus","slider_start","value","rndSet","rndV1","rndV2","videoA","videoB"
"","","","","","audio-keyboard-response","10","2824326","0.0-8.0","2024-06-13T15:58:24.596Z","5_wau294","null","null","GanzfeldPlay","../audio/German_Ganzfeld_Induction_v3.mp3","","","","","","",""
"","","","","","call-function","11","2824328","0.0-9.0-0.0","2024-06-13T15:58:24.596Z","5_wau294","","","","","","","","","","",""
"","","","","","survey","12","3459949","0.0-9.0-1.0","2024-06-13T15:58:24.596Z","5_wau294","635601","{""PCIGanz1"":4,""PCIGanz2"":1,""PCIGanz3"":2,""PCIGanz4"":6,""PCIGanz5"":4,""PCIGanz6"":5,""PCIGanz7"":0,""PCIGanz8"":0,""PCIGanz9"":0,""PCIGanz10"":1,""PCIGanz11"":5,""PCIGanz12"":3,""PCIGanz13"":1,""PCIIntro"":null}","PCIGanzfeld","","","","","","","",""
"","","","","","call-function","13","3459950","0.0-9.0-2.0","2024-06-13T15:58:24.596Z","5_wau294","","","","","","","","","","",""
"","","","","","survey","14","3526646","0.0-10.0","2024-06-13T15:58:24.596Z","5_wau294","66687","{""DSSQ"":{""DSSQ01"":4,""DSSQ02"":5,""DSSQ03"":1,""DSSQ04"":1,""DSSQ05"":1,""DSSQ06"":3,""DSSQ07"":1,""DSSQ08"":4},""DSSQIntro"":null}","DSSQ","","","","","","","",""
"","","","","","html-slider-response","15","3535595","0.0-11.0","2024-06-13T15:58:24.596Z","5_wau294","8948","91","time1","<p><i>Bitte beantworten Sie die folgenden beiden Fragen zu Ihren Erfahrungen während der 30 Minuten Ganzfeld.</i></p>
            <p>1. Wie oft haben Sie <b>während der Aufgabe</b> an die Zeit gedacht?</p>","50","","","","","",""
"","","","","","html-slider-response","16","3540178","0.0-12.0","2024-06-13T15:58:24.596Z","5_wau294","4582","8","time2","<p><i>Bitte beantworten Sie die folgenden beiden Fragen zu Ihren Erfahrungen während der 30 Minuten Ganzfeld.</i></p>
            <p>2. Wie schnell verging die Zeit für Sie <b>während der Aufgabe</b>?</p>","50","","","","","",""
"","","","","","html-button-response","17","3579530","0.0-13.0","2024-06-13T15:58:24.596Z","5_wau294","39351","0","videoIntro","<p>Jetzt möchten wir, dass Sie sich zwei kurze Videos ansehen und bewerten, wie ähnlich sie Ihrem Ganzfeld-Erlebnis sind.</p>
            <p>Bitte klicken Sie auf ""Weiter"", wenn Sie bereit sind.</p>","","","16","0","1","../video/24 A Tears in the rain.mp4","../video/24 B Flying Frog.mp4"
"true","false","[]","[]","[]","preload","18","3584469","0.0-14.0","2024-06-13T15:58:24.596Z","5_wau294","","","","","","","","","","",""
"","","","","","survey-html-form","19","3774835","0.0-15.0-0.0","2024-06-13T15:58:24.596Z","5_wau294","190364","{""ClipA"":""91"",""ClipB"":""17""}","videoRating","","","","","","","",""
"","","","","","html-button-response","20","3779970","0.0-16.0","2024-06-13T15:58:24.596Z","5_wau294","5132","0","videoTargetIntro","<p>Wir werden jetzt das Zielvideo auswählen.</p><p>Bitte sehen Sie sich das ausgewählte Video ein zweites Mal an.</p>","","","","","","",""
"","","","","","video-keyboard-response","21","3843984","0.0-17.0","2024-06-13T15:58:24.596Z","5_wau294","null","null","videoTarget","[""../video/24 A Tears in the rain.mp4""]","","","","","","",""
